code,title,stock
2000-BAT-0002,BAT CR2032HT,157
2000-BAT-0003,BAT 2032,8
2000-CAP-0001,CAP 10pF/16v/1206,20
2000-CAP-0002,CAP 10pF/50v/1206,3175
2000-CAP-0003,CAP 33pF/16v/1206,0
2000-CAP-0004,CAP 33pF/50v/1206,160
2000-CAP-0005,CAP 82pF/50v/1206,2787
2000-CAP-0006,CAP 220pF/1Kv/DIP,408
2000-CAP-0007,CAP 560pF/50v/1206,4065
2000-CAP-0008,CAP 1nF/16v/1206,10
2000-CAP-0009,CAP 1NF/50v/1206,3120
2000-CAP-0010,CAP 2.2NF/1kv/DIP,455
2000-CAP-0011,CAP 3.3NF/50v/1206,3120
2000-CAP-0012,CAP 10NF/50v/1206,3215
2000-CAP-0013,CAP 22NF/100v/DIP,10
2000-CAP-0014,CAP 22NF/1KV/DIP,75
2000-CAP-0015,CAP 100NF/16V/1206,269
2000-CAP-0016,CAP 100NF/25V/1206,10
2000-CAP-0018,CAP 100NF/50V/1206,5125
2000-CAP-0019,CAP 100NF/50v/0603,20
2000-CAP-0021,CAP 1uF/16v/1206,40
2000-CAP-0022,CAP 1uF/50v/1812,20
2000-CAP-0023,CAP 1uF/50v/1206,3230
2000-CAP-0024,CAP 2.2uF/16v/1206,20
2000-CAP-0025,CAP 4.7uF/50v/ALUM,465
2000-CAP-0026,CAP 10UF/16v/ALUM,975
2000-CAP-0027,CAP 10uF/16v/1206,48
2000-CAP-0028,CAP 10uF/25v/1206,20
2000-CAP-0029,CAP 10uF/50v/1206,90
2000-CAP-0030,CAP 10uF/50v/SMD,10
2000-CAP-0031,CAP 22uF/16v/ALUM,10
2000-CAP-0032,CAP 22uF/25v/ALUM,465
2000-CAP-0033,CAP 47uF/35v/SMD,465
2000-CAP-0034,CAP 47uF/35V/7343,13
2000-CAP-0035,CAP 47uF/50/7343,12
2000-CAP-0037,CAP 100uF/50V/ALUM,10
2000-CAP-0039,CAP 470uF/50V/SMD,10
2000-CAP-0041,CAP 22NF/2KV/MYLAR,138
2000-CAP-0042,CAP 22UF/16V/1206,1055
2000-CAP-0043,CAP 2.2uF/50v/1206,1020
2000-CAP-0044,CAP 100NF/400V/DIP,234
2000-CAP-0045,CAP 22uF/50V/DIP,3
2000-CAP-0046,CAP 22uF/400v/DIP,3
2000-CAP-0047,CAP 100NF/50V/DIP/CERAMIC,900
2000-CAP-0048,CAP 100NF/50V/DIP/MIKA,200
2000-CAP-0049,CAP 10NF/100V/DIP/FILM,600
2000-CAP-0050,CAP 100uF/35V/DIP/Electrolytic,77
2000-CAP-0051,CAP 100NF/100V/DIP/FILM,105
2000-CAP-0052,CAP 1uF/100V/DIP/Electrolytic,170
2000-CAP-0053,CAP 470VNF/50v/DIP/Electrolytic,200
2000-CAP-0054,CAP 4.7Nf/100v/DIP/FILM,200
2000-CAP-0055,CAP 4.7NF/50v/DIP/FILM,200
2000-CAP-0056,CAP 22uF/100V/DIP,3
2000-CAP-0057,CAP 2.2uF/50V/SMD/High Temp,13
2000-CAP-0058,CAP 22uF/25V/SMD/High Temp,22
2000-CAP-0059,CAP 47uF/25V/SMD/High Temp,13
2000-CAP-0060,CAP 100uF/50V/SMD/High Temp,16
2000-CAP-0064,CAP 47NF/50v/SMD ALUM,0
2000-CAP-0065,CAP 100NF/50v/0603,0
2000-CAP-0066,CAP 10uF/50v/0603,0
2000-CAP-0067,CAP 22pF/50v/0603,0
2000-CAP-0068,CAP 1NF/50v/0603,0
2000-CAP-0069,CAP 470pF/50v/0603,0
2000-CAP-0071,CAP 470NF/125v/DIP/poly,0
2000-CLEAN-0001,احيا كننده نوك هويه,2
2000-CLEAN-0002,پاك كننده نوك هويه,1
2000-CON-0001,CON  BS-7,321
2000-CON-0002,CON  KF301/10PIN/ 5+5,19
2000-CON-0003,CON  KF129/2PIN/VER,670
2000-CON-0004,CON 1755765l/VER/5 Pos,117
2000-CON-0005,CON  B2B/XH/2/MAL,87
2000-CON-0006,CON  B2B/XH/2PIN/F,80
2000-CON-0007,CON  B2B/XH/2PIN/Wire/F,50
2000-CON-0010,CON  VH/2PIN/F,2
2000-CON-0011,CON  VH/2PIN/MAL,12
2000-CON-0012,CON  VH/3PIN/MAL,19
2000-CON-0013,CON  VH/3PIN/F,19
2000-CON-0015,‎DC-22M (سوكت آدابتور) CON‎,22
2000-CON-0016,‎DC-25M (سوكت آدابتور) CON‎,10
2000-CON-0017,CON  TERMINAL/XH,194
2000-CON-0018,CON  TERMINAL/VH,60
2000-CON-0019,CON XH/3PIN/Wire/F,12
2000-CON-0020,CON  VH/4PIN/F,2
2000-CON-0021,CON  VH/4PIN/MAL,2
2000-CON-0022,هدر باكس2*5,2
2000-Clip-0001,سيم سوسماري,9
2000-DIO-0001,DIO M7,2130
2000-DIO-0002,DIO MB10FTR,340
2000-DIO-0003,DIO ZMM3V,2605
2000-DIO-0004,DIO ZMM5.1V,2550
2000-DIO-0005,DIO ZMM8.2V,2550
2000-DIO-0006,DIO ZMM16V,2655
2000-DIO-0007,DIO ZMM2.4V,2655
2000-DIO-0008,DIO SMBJ3.3V,2130
2000-DIO-0009,DIO SMBJ15V,5
2000-DIO-0010,DIO SMBJ20V,20
2000-DIO-0011,DIO SMBJ36V,2010
2000-DIO-0012,DIO SMBJ40V,20
2000-DIO-0013,DIO SMBJ43V,30
2000-DIO-0014,DIO SMBJ45V,0
2000-DIO-0015,DIO PSM712-12,386
2000-DIO-0016,DIO SS36/DO-214AB,2020
2000-DIO-0017,DIO SS36/DO-214AC,20
2000-DIO-0018,DIO SS16-E3,10
2000-DIO-0019,DIO US1M-E3/61T,2000
2000-DIO-0020,DIO MBRD660CT,4
2000-DIO-0021,DIO MBRD1045T4G,3
2000-DIO-0022,DIO SS110,2001
2000-DIO-0023,DIO STPS1045SFY-45V,20
2000-DIO-0024,DIO LL4148,69
2000-DIO-0025,DIO MBRB20200CTT4G,22
2000-DIO-0027,DIO PDS1040L-13,3
2000-DSW-0001,DSW DHS908,10
2000-DSW-0002,DSW KE08RTGR,232
2000-DSW-0003,DSW 4PIN/DIP,2
2000-DSW-0004,DSW BPA08SB/DIP,0
2000-FER-0001,FER UF16,295
2000-FER-0002,FER GU22*13,310
2000-FER-0003,FER HCB3216KF,40
2000-FER-0004,FER BLM31PG121SN1L,70
2000-FER-0005,FER HI1206T500R,6055
2000-FIL-0001,FIL Bnx026h01,10
2000-ICS-0001,ICs TL494ID/SMD,276
2000-ICS-0002,ICs 6N137-X007T,210
2000-ICS-0003,ICs TXS0108EQPWRQ1,230
2000-ICS-0004,ICs REF3125ALDBZR,10
2000-ICS-0005,ICs SN65HVD1781A-Q,6
2000-ICS-0006,ICs S8254AAFFT,25
2000-ICS-0007,ICs AD694ARZ,241
2000-ICS-0008,ICs BR24H32FJ,6
2000-ICS-0009,ICs R1S-0505/H,10
2000-ICS-0010,ICs STM32F405RGT7,212
2000-ICS-0011,ICs STM32L072CBT6,2
2000-ICS-0012,ICs SBTN01L-05N,222
2000-ICS-0013,ICs 74HC541D,240
2000-ICS-0014,ICs 74HC165D,292
2000-ICS-0015,ICs L78M05ABDT,210
2000-ICS-0016,ICs AMS1117,8
2000-ICS-0017,ICs XTR111AIDGQT,10
2000-ICS-0018,ICs ADUM1201AR,297
2000-ICS-0019,ICs AT24C32D,250
2000-ICS-0020,ICs ISP817XASM,1345
2000-ICS-0021,ICs AD8572ARZ,1000
2000-ICS-0022,ICs MAX487EESA,244
2000-ICS-0023,ICs LD1086DT33TR,215
2000-ICS-0024,ICs LM2594M-ADJ,305
2000-ICS-0025,ICs,295
2000-ICS-0026,ICD TL494MJ/DIP,4
2000-ICS-0027,ICs TL494BDR2G/SMD,238
2000-ICS-0028,ICs STM32F405RGT6,15
2000-ICS-0029,ICD REF02AJ/883C,0
2000-ICS-0030,ICs DS8500-JND+T&R,0
2000-ICS-0031,ICs STM32F103VGT7R,0
2000-ICS-0032,ICs STM32F103C8T7,20
2000-ICS-0033,ICs LM11117LMPX-3.3/NOPB,20
2000-IND-0001,IND H127-330UH,565
2000-IND-0002,IND SRP4020TA-100M,20
2000-IND-0003,IND SPRH127-330M,20
2000-IND-0004,IND PLT5BH5013R1SNL,10
2000-IND-0005,IND 100uH/SP-CO/DIP,2
2000-IND-0006,IND 100UH/redial/DIP,2
2000-IND-0007,IND RH127-33uH,555
2000-LED-0001,LED 3PIN/DIP/RED,51
2000-LED-0002,LED 151051RS11000/DIP/RED,2035
2000-LED-0003,LED 151051VS04000/DIP/GREEN,2055
2000-LED-0004,LED SML-D15MWT86C/1608,50
2000-LED-0005,LED 159744/1206/BLUE,20
2000-LED-0006,LED LTST C150GKT/1206,2055
2000-LED-0007,LED BLUE/SMD/0805,0
2000-LED-0008,LED RED/SMD/0805,0
2000-LED-0009,LED GREEN/SMD/0805,0
2000-Lamp-0001,لامپ هالوژن اسرام 250وات64655,3
2000-Lamp-0002,لامپ هالوژن اسرام 150وات64633,4
2000-Lamp-0003,لامپ هالوژن اسرام 100وات64625,4
2000-Lamp-0004,لامپ اسرام سوزني 100واتHLX 62138,36
2000-Lamp-0005,لامپ اسرام سوزني 50وات64440,10
2000-Lamp-0006,لامپ هالوژن 100واتH3,2
2000-Lamp-0008,لامپ هالوژن اسرام 100وات828,1
2000-Lithium-0003,باتري ليتيوم يون 18650/3000mA,0
2000-Lithium-0004,باتري ليتيوم يون 18650/2000mA,0
2000-Lithium-0005,باتري ليتيوم يون 21700/5000mA,0
